mongo  | about to fork child process, waiting until server is ready for connections.
mongo         | {"t":{"$date":"2026-03-16T17:29:26.005+00:00"},"s":"I",  "c":"CONTROL",  "id":23403,   "ctx":"initandlisten","msg":"Build Info","attr":{"buildInfo":{"version":"7.0.30","gitVersion":"67480f41dfa5802ce14af5c95bd0e9826d3b2131","openSSLVersion":"OpenSSL 3.0.2 15 Mar 2022","modules":[],"allocator":"tcmalloc","environment":{"distmod":"ubuntu2204","distarch":"x86_64","target_arch":"x86_64"}}}}
mongo         | {"t":{"$date":"2026-03-16T17:29:26.005+00:00"},"s":"I",  "c":"CONTROL",  "id":51765,   "ctx":"initandlisten","msg":"Operating System","attr":{"os":{"name":"Ubuntu","version":"22.04"}}}
mongo         | {"t":{"$date":"2026-03-16T17:29:26.005+00:00"},"s":"I",  "c":"CONTROL",  "id":21951,   "ctx":"initandlisten","msg":"Options set by command line","attr":{"options":{"net":{"bindIp":"127.0.0.1","port":27017,"tls":{"mode":"disabled"}},"processManagement":{"fork":true,"pidFilePath":"/tmp/docker-entrypoint-temp-mongod.pid"},"systemLog":{"destination":"file","logAppend":true,"path":"/proc/1/fd/1"}}}}
mongo         | {"t":{"$date":"2026-03-16T17:29:26.011+00:00"},"s":"I",  "c":"STORAGE",  "id":22297,   "ctx":"initandlisten","msg":"Using the XFS filesystem is strongly recommended with the WiredTiger storage engine. See http://dochub.mongodb.org/core/prodnotes-filesystem","tags":["startupWarnings"]}
mongo         | {"t":{"$date":"2026-03-16T17:29:26.012+00:00"},"s":"I",  "c":"STORAGE",  "id":22315,   "ctx":"initandlisten","msg":"Opening WiredTiger","attr":{"config":"create,cache_size=1445M,session_max=33000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,remove=true,path=journal,compressor=snappy),builtin_extension_config=(zstd=(compression_level=6)),file_manager=(close_idle_time=600,close_scan_interval=10,close_handle_minimum=2000),statistics_log=(wait=0),json_output=(error,message),verbose=[recovery_progress:1,checkpoint_progress:1,compact_progress:1,backup:0,checkpoint:0,compact:0,evict:0,history_store:0,recovery:0,rts:0,salvage:0,tiered:0,timestamp:0,transaction:0,verify:0,log:0],"}}
mongo         | {"t":{"$date":"2026-03-16T17:29:26.164+00:00"},"s":"I",  "c":"WTRECOV",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":{"ts_sec":1773682166,"ts_usec":164489,"thread":"28:0x7f7fae589c80","session_name":"txn-recover","category":"WT_VERB_RECOVERY_PROGRESS","category_id":30,"verbose_level":"DEBUG_1","verbose_level_id":1,"msg":"recovery log replay has successfully finished and ran for 0 milliseconds"}}}
mongo         | {"t":{"$date":"2026-03-16T17:29:26.165+00:00"},"s":"I",  "c":"WTRECOV",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":{"ts_sec":1773682166,"ts_usec":165122,"thread":"28:0x7f7fae589c80","session_name":"txn-recover","category":"WT_VERB_RECOVERY_PROGRESS","category_id":30,"verbose_level":"DEBUG_1","verbose_level_id":1,"msg":"Set global recovery timestamp: (0, 0)"}}}
mongo         | {"t":{"$date":"2026-03-16T17:29:26.165+00:00"},"s":"I",  "c":"WTRECOV",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":{"ts_sec":1773682166,"ts_usec":165220,"thread":"28:0x7f7fae589c80","session_name":"txn-recover","category":"WT_VERB_RECOVERY_PROGRESS","category_id":30,"verbose_level":"DEBUG_1","verbose_level_id":1,"msg":"Set global oldest timestamp: (0, 0)"}}}
mongo         | {"t":{"$date":"2026-03-16T17:29:26.165+00:00"},"s":"I",  "c":"WTRECOV",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":{"ts_sec":1773682166,"ts_usec":165274,"thread":"28:0x7f7fae589c80","session_name":"txn-recover","category":"WT_VERB_RECOVERY_PROGRESS","category_id":30,"verbose_level":"DEBUG_1","verbose_level_id":1,"msg":"recovery was completed successfully and took 0ms, including 0ms for the log replay, 0ms for the rollback to stable, and 0ms for the checkpoint."}}}
mongo         | {"t":{"$date":"2026-03-16T17:29:26.186+00:00"},"s":"I",  "c":"STORAGE",  "id":4795906, "ctx":"initandlisten","msg":"WiredTiger opened","attr":{"durationMillis":174}}
mongo         | {"t":{"$date":"2026-03-16T17:29:26.187+00:00"},"s":"I",  "c":"RECOVERY", "id":23987,   "ctx":"initandlisten","msg":"WiredTiger recoveryTimestamp","attr":{"recoveryTimestamp":{"$timestamp":{"t":0,"i":0}}}}
mongo         | {"t":{"$date":"2026-03-16T17:29:26.271+00:00"},"s":"W",  "c":"CONTROL",  "id":22120,   "ctx":"initandlisten","msg":"Access control is not enabled for the database. Read and write access to data and configuration is unrestricted","tags":["startupWarnings"]}
mongo         | {"t":{"$date":"2026-03-16T17:29:26.271+00:00"},"s":"W",  "c":"CONTROL",  "id":22184,   "ctx":"initandlisten","msg":"Soft rlimits for open file descriptors too low","attr":{"currentValue":1024,"recommendedMinimum":64000},"tags":["startupWarnings"]}
mongo         | {"t":{"$date":"2026-03-16T17:29:26.271+00:00"},"s":"I",  "c":"STORAGE",  "id":20320,   "ctx":"initandlisten","msg":"createCollection","attr":{"namespace":"admin.system.version","uuidDisposition":"provided","uuid":{"uuid":{"$uuid":"0d2f5e1c-b00a-4506-b02b-14e82bc66a0f"}},"options":{"uuid":{"$uuid":"0d2f5e1c-b00a-4506-b02b-14e82bc66a0f"}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.310+00:00"},"s":"I",  "c":"INDEX",    "id":20345,   "ctx":"initandlisten","msg":"Index build: done building","attr":{"buildUUID":null,"collectionUUID":{"uuid":{"$uuid":"0d2f5e1c-b00a-4506-b02b-14e82bc66a0f"}},"namespace":"admin.system.version","index":"_id_","ident":"index-1-5974268510761800882","collectionIdent":"collection-0-5974268510761800882","commitTimestamp":null}}
mongo-express-1  | Waiting for mongo:27017...
mongo-express-1  | /docker-entrypoint.sh: connect: Connection refused
mongo-express-1  | /docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Connection refused
mongo-express-1  | Mon Mar 16 17:29:26 UTC 2026 retrying to connect to mongo:27017 (2/10)
mongo-express-1  | /docker-entrypoint.sh: connect: Connection refused
mongo-express-1  | /docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Connection refused
mongo-express-1  | Mon Mar 16 17:29:27 UTC 2026 retrying to connect to mongo:27017 (3/10)
mongo-express-1  | /docker-entrypoint.sh: connect: Connection refused
mongo-express-1  | /docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Connection refused
mongo-express-1  | Mon Mar 16 17:29:29 UTC 2026 retrying to connect to mongo:27017 (4/10)
mongo-express-1  | /docker-entrypoint.sh: connect: Connection refused
mongo-express-1  | /docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Connection refused
mongo-express-1  | Mon Mar 16 17:29:30 UTC 2026 retrying to connect to mongo:27017 (5/10)
mongo-express-1  | /docker-entrypoint.sh: connect: Connection refused
mongo-express-1  | /docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Connection refused
mongo-express-1  | Mon Mar 16 17:29:31 UTC 2026 retrying to connect to mongo:27017 (6/10)
mongo-express-1  | /docker-entrypoint.sh: connect: Connection refused
mongo-express-1  | /docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Connection refused
mongo-express-1  | Mon Mar 16 17:29:32 UTC 2026 retrying to connect to mongo:27017 (7/10)
mongo-express-1  | No custom config.js found, loading config.default.js
mongo-express-1  | Welcome to mongo-express 1.0.2
mongo-express-1  | ------------------------
mongo-express-1  | 
mongo-express-1  | 
mongo-express-1  | Mongo Express server listening at http://0.0.0.0:8081
mongo-express-1  | [31mServer is open to allow connections from anyone (0.0.0.0)[39m
migration_db  | ---------------------------------
migration_db     | Running unit tests csv ...
migration_db     | ---------------------------------
migration_db     | test_duplicated_line (__main__.Test_dataframeIN.test_duplicated_line) ... ok
migration_db     | test_line_col (__main__.Test_dataframeIN.test_line_col) ... ok
migration_db     | test_type_colonne (__main__.Test_dataframeIN.test_type_colonne) ... ok
migration_db     | test_value_set_null (__main__.Test_dataframeIN.test_value_set_null) ... ok
migration_db     | 
migration_db     | ----------------------------------------------------------------------
migration_db     | Ran 4 tests in 0.091s
migration_db     | 
migration_db     | OK
migration_db     |             Name  Age Gender  ... Discharge Date   Medication  Test Results
migration_db     | 0  bobby jackson   30   Male  ...     2024-02-02  Paracetamol        Normal
migration_db     | 1   leslie terry   62   Male  ...     2019-08-26    Ibuprofen  Inconclusive
migration_db     | 
migration_db     | [2 rows x 15 columns]
migration_db     | => Le dataframe comprend 0 ligne(s) dupliquée(s)
migration_db     | 
migration_db     | => Le dataframe comprend 54966 lignes et 15 colonnes
migration_db     | 
migration_db     | 
migration_db     | => Affichage du nombre d'occurrences de chaque valeur possible des colonnes catégorielles
migration_db     | 
migration_db     | <class 'pandas.DataFrame'>
migration_db     | Index: 54966 entries, 0 to 55499
migration_db     | Data columns (total 15 columns):
migration_db     |  #   Column              Non-Null Count  Dtype         
migration_db     | ---  ------              --------------  -----         
migration_db     |  0   Name                54966 non-null  str           
migration_db     |  1   Age                 54966 non-null  int64         
migration_db     |  2   Gender              54966 non-null  str           
migration_db     |  3   Blood Type          54966 non-null  str           
migration_db     |  4   Medical Condition   54966 non-null  str           
migration_db     |  5   Date of Admission   54966 non-null  datetime64[us]
migration_db     |  6   Doctor              54966 non-null  str           
migration_db     |  7   Hospital            54966 non-null  str           
migration_db     |  8   Insurance Provider  54966 non-null  str           
migration_db     |  9   Billing Amount      54966 non-null  float64       
migration_db     |  10  Room Number         54966 non-null  int64         
migration_db     |  11  Admission Type      54966 non-null  str           
migration_db     |  12  Discharge Date      54966 non-null  datetime64[us]
migration_db     |  13  Medication          54966 non-null  str           
migration_db     |  14  Test Results        54966 non-null  str           
migration_db     | dtypes: datetime64[us](2), float64(1), int64(2), str(10)
migration_db     | memory usage: 6.7 MB
migration_db     | None
migration_db     | ---------------------------------
migration_db     | Tests passed V
migration_db     | Running main program...
migration_db     | ---------------------------------
migration_db     | *** INSERT : csv to db ***
migration_db     | *** done : db updated ! ***
migration_db     | ---------------------------------
migration_db     | Running unit tests mongodb ...
migration_db     | ---------------------------------
migration_db     | test_hospital_duplicated_line (__main__.Test_dataframeOUT.test_hospital_duplicated_line) ... ok
migration_db     | test_hospital_line_col (__main__.Test_dataframeOUT.test_hospital_line_col) ... ok
migration_db     | test_hospital_type_colonne (__main__.Test_dataframeOUT.test_hospital_type_colonne) ... ok
migration_db     | test_hospital_value_set_null (__main__.Test_dataframeOUT.test_hospital_value_set_null) ... ok
migration_db     | test_patient_duplicated_line (__main__.Test_dataframeOUT.test_patient_duplicated_line) ... ok
migration_db     | test_patient_line_col (__main__.Test_dataframeOUT.test_patient_line_col) ... ok
migration_db     | test_patient_type_colonne (__main__.Test_dataframeOUT.test_patient_type_colonne) ... ok
migration_db     | test_patient_value_set_null (__main__.Test_dataframeOUT.test_patient_value_set_null) ... ok
migration_db     | 
migration_db     | ----------------------------------------------------------------------
migration_db     | Ran 8 tests in 0.258s
migration_db     | 
migration_db     | OK
migration_db     |                         _id  id_p  id_h           Name  Age Gender Blood Type
migration_db     | 0  69b83df994c3cfc5083eae82     0     0  bobby jackson   30   Male         B-
migration_db     | 1  69b83df994c3cfc5083eae83     1     1   leslie terry   62   Male         A+
migration_db     |                         _id  id_h  ...  Test Results id_p
migration_db     | 0  69b83dfb94c3cfc5083f8522     0  ...        Normal    0
migration_db     | 1  69b83dfb94c3cfc5083f8523     1  ...  Inconclusive    1
migration_db     | 
migration_db     | [2 rows x 14 columns]
migration_db     | => Le dataframe comprend 0 ligne(s) dupliquée(s)
migration_db     | 
migration_db     | => Le dataframe comprend 54966 lignes et 14 colonnes
migration_db     | 
migration_db     | 
migration_db     | => Affichage du nombre d'occurrences de chaque valeur possible des colonnes catégorielles
migration_db     | 
migration_db     | <class 'pandas.DataFrame'>
migration_db     | RangeIndex: 54966 entries, 0 to 54965
migration_db     | Data columns (total 14 columns):
migration_db     |  #   Column              Non-Null Count  Dtype         
migration_db     | ---  ------              --------------  -----         
migration_db     |  0   _id                 54966 non-null  object        
migration_db     |  1   id_h                54966 non-null  int64         
migration_db     |  2   Medical Condition   54966 non-null  str           
migration_db     |  3   Date of Admission   54966 non-null  datetime64[us]
migration_db     |  4   Doctor              54966 non-null  str           
migration_db     |  5   Hospital            54966 non-null  str           
migration_db     |  6   Insurance Provider  54966 non-null  str           
mongo            | {"t":{"$date":"2026-03-16T17:29:26.310+00:00"},"s":"I",  "c":"REPL",     "id":20459,   "ctx":"initandlisten","msg":"Setting featureCompatibilityVersion","attr":{"newVersion":"7.0"}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.310+00:00"},"s":"I",  "c":"REPL",     "id":5853300, "ctx":"initandlisten","msg":"current featureCompatibilityVersion value","attr":{"featureCompatibilityVersion":"7.0","context":"setFCV"}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.310+00:00"},"s":"I",  "c":"NETWORK",  "id":4915702, "ctx":"initandlisten","msg":"Updated wire specification","attr":{"oldSpec":{"incomingExternalClient":{"minWireVersion":0,"maxWireVersion":21},"incomingInternalClient":{"minWireVersion":0,"maxWireVersion":21},"outgoing":{"minWireVersion":6,"maxWireVersion":21},"isInternalClient":true},"newSpec":{"incomingExternalClient":{"minWireVersion":0,"maxWireVersion":21},"incomingInternalClient":{"minWireVersion":21,"maxWireVersion":21},"outgoing":{"minWireVersion":21,"maxWireVersion":21},"isInternalClient":true}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.311+00:00"},"s":"I",  "c":"NETWORK",  "id":4915702, "ctx":"initandlisten","msg":"Updated wire specification","attr":{"oldSpec":{"incomingExternalClient":{"minWireVersion":0,"maxWireVersion":21},"incomingInternalClient":{"minWireVersion":21,"maxWireVersion":21},"outgoing":{"minWireVersion":21,"maxWireVersion":21},"isInternalClient":true},"newSpec":{"incomingExternalClient":{"minWireVersion":0,"maxWireVersion":21},"incomingInternalClient":{"minWireVersion":21,"maxWireVersion":21},"outgoing":{"minWireVersion":21,"maxWireVersion":21},"isInternalClient":true}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.311+00:00"},"s":"I",  "c":"REPL",     "id":5853300, "ctx":"initandlisten","msg":"current featureCompatibilityVersion value","attr":{"featureCompatibilityVersion":"7.0","context":"startup"}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.311+00:00"},"s":"I",  "c":"STORAGE",  "id":5071100, "ctx":"initandlisten","msg":"Clearing temp directory"}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.311+00:00"},"s":"I",  "c":"CONTROL",  "id":6608200, "ctx":"initandlisten","msg":"Initializing cluster server parameters from disk"}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.316+00:00"},"s":"I",  "c":"CONTROL",  "id":20536,   "ctx":"initandlisten","msg":"Flow Control is enabled on this deployment"}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.316+00:00"},"s":"I",  "c":"FTDC",     "id":20625,   "ctx":"initandlisten","msg":"Initializing full-time diagnostic data capture","attr":{"dataDirectory":"/data/db/diagnostic.data"}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.326+00:00"},"s":"I",  "c":"STORAGE",  "id":20320,   "ctx":"initandlisten","msg":"createCollection","attr":{"namespace":"local.startup_log","uuidDisposition":"generated","uuid":{"uuid":{"$uuid":"2c45b73f-2142-4ff7-8c5c-bd7536f11ed4"}},"options":{"capped":true,"size":10485760}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.380+00:00"},"s":"I",  "c":"INDEX",    "id":20345,   "ctx":"initandlisten","msg":"Index build: done building","attr":{"buildUUID":null,"collectionUUID":{"uuid":{"$uuid":"2c45b73f-2142-4ff7-8c5c-bd7536f11ed4"}},"namespace":"local.startup_log","index":"_id_","ident":"index-3-5974268510761800882","collectionIdent":"collection-2-5974268510761800882","commitTimestamp":null}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.380+00:00"},"s":"I",  "c":"REPL",     "id":6015317, "ctx":"initandlisten","msg":"Setting new configuration state","attr":{"newState":"ConfigReplicationDisabled","oldState":"ConfigPreStart"}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.380+00:00"},"s":"I",  "c":"STORAGE",  "id":22262,   "ctx":"initandlisten","msg":"Timestamp monitor starting"}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.384+00:00"},"s":"I",  "c":"STORAGE",  "id":20320,   "ctx":"LogicalSessionCacheRefresh","msg":"createCollection","attr":{"namespace":"config.system.sessions","uuidDisposition":"generated","uuid":{"uuid":{"$uuid":"1924c74d-185f-47d1-b1b7-a3f175180cd4"}},"options":{}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.386+00:00"},"s":"I",  "c":"CONTROL",  "id":20712,   "ctx":"LogicalSessionCacheReap","msg":"Sessions collection is not set up; waiting until next sessions reap interval","attr":{"error":"NamespaceNotFound: config.system.sessions does not exist"}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.389+00:00"},"s":"I",  "c":"NETWORK",  "id":23015,   "ctx":"listener","msg":"Listening on","attr":{"address":"/tmp/mongodb-27017.sock"}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.391+00:00"},"s":"I",  "c":"NETWORK",  "id":23015,   "ctx":"listener","msg":"Listening on","attr":{"address":"127.0.0.1"}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.391+00:00"},"s":"I",  "c":"NETWORK",  "id":23016,   "ctx":"listener","msg":"Waiting for connections","attr":{"port":27017,"ssl":"off"}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.391+00:00"},"s":"I",  "c":"CONTROL",  "id":8423403, "ctx":"initandlisten","msg":"mongod startup complete","attr":{"Summary of time elapsed":{"Startup from clean shutdown?":true,"Statistics":{"Transport layer setup":"0 ms","Run initial syncer crash recovery":"0 ms","Create storage engine lock file in the data directory":"0 ms","Get metadata describing storage engine":"0 ms","Create storage engine":"231 ms","Write current PID to file":"10 ms","Write a new metadata for storage engine":"10 ms","Initialize FCV before rebuilding indexes":"1 ms","Drop abandoned idents and get back indexes that need to be rebuilt or builds that need to be restarted":"0 ms","Rebuild indexes for collections":"0 ms","Load cluster parameters from disk for a standalone":"0 ms","Build user and roles graph":"0 ms","Set up the background thread pool responsible for waiting for opTimes to be majority committed":"0 ms","Initialize information needed to make a mongod instance shard aware":"0 ms","Start up the replication coordinator":"0 ms","Start transport layer":"5 ms","_initAndListen total elapsed time":"386 ms"}}}}
mongo            | child process started successfully, parent exiting
mongo            | {"t":{"$date":"2026-03-16T17:29:26.419+00:00"},"s":"I",  "c":"REPL",     "id":7360102, "ctx":"LogicalSessionCacheRefresh","msg":"Added oplog entry for create to transaction","attr":{"namespace":"config.$cmd","uuid":{"uuid":{"$uuid":"1924c74d-185f-47d1-b1b7-a3f175180cd4"}},"object":{"create":"system.sessions","idIndex":{"v":2,"key":{"_id":1},"name":"_id_"}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.419+00:00"},"s":"I",  "c":"REPL",     "id":7360100, "ctx":"LogicalSessionCacheRefresh","msg":"Added oplog entry for createIndexes to transaction","attr":{"namespace":"config.$cmd","uuid":{"uuid":{"$uuid":"1924c74d-185f-47d1-b1b7-a3f175180cd4"}},"object":{"createIndexes":"system.sessions","v":2,"key":{"lastUse":1},"name":"lsidTTLIndex","expireAfterSeconds":1800}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.458+00:00"},"s":"I",  "c":"INDEX",    "id":20345,   "ctx":"LogicalSessionCacheRefresh","msg":"Index build: done building","attr":{"buildUUID":null,"collectionUUID":{"uuid":{"$uuid":"1924c74d-185f-47d1-b1b7-a3f175180cd4"}},"namespace":"config.system.sessions","index":"_id_","ident":"index-5-5974268510761800882","collectionIdent":"collection-4-5974268510761800882","commitTimestamp":null}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.459+00:00"},"s":"I",  "c":"INDEX",    "id":20345,   "ctx":"LogicalSessionCacheRefresh","msg":"Index build: done building","attr":{"buildUUID":null,"collectionUUID":{"uuid":{"$uuid":"1924c74d-185f-47d1-b1b7-a3f175180cd4"}},"namespace":"config.system.sessions","index":"lsidTTLIndex","ident":"index-6-5974268510761800882","collectionIdent":"collection-4-5974268510761800882","commitTimestamp":null}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.827+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"127.0.0.1:40624","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"0139e00b-0255-418c-b9e0-efaeb0636c7b"}},"connectionId":1,"connectionCount":1}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.840+00:00"},"s":"I",  "c":"NETWORK",  "id":51800,   "ctx":"conn1","msg":"client metadata","attr":{"remote":"127.0.0.1:40624","client":"conn1","negotiatedCompressors":[],"doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.840+00:00"},"s":"I",  "c":"ACCESS",   "id":10483900,"ctx":"conn1","msg":"Connection not authenticating","attr":{"client":"127.0.0.1:40624","doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.850+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"127.0.0.1:40640","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"ce7085b4-9994-4fb3-a7ed-b22cf499b21a"}},"connectionId":2,"connectionCount":2}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.851+00:00"},"s":"I",  "c":"NETWORK",  "id":51800,   "ctx":"conn2","msg":"client metadata","attr":{"remote":"127.0.0.1:40640","client":"conn2","negotiatedCompressors":[],"doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.851+00:00"},"s":"I",  "c":"ACCESS",   "id":10483900,"ctx":"conn2","msg":"Connection not authenticating","attr":{"client":"127.0.0.1:40640","doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.862+00:00"},"s":"I",  "c":"NETWORK",  "id":6788700, "ctx":"conn2","msg":"Received first command on ingress connection since session start or auth handshake","attr":{"elapsedMillis":11}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.958+00:00"},"s":"I",  "c":"NETWORK",  "id":22944,   "ctx":"conn2","msg":"Connection ended","attr":{"remote":"127.0.0.1:40640","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"ce7085b4-9994-4fb3-a7ed-b22cf499b21a"}},"connectionId":2,"connectionCount":1}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.963+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"127.0.0.1:40648","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"edc21b69-48c0-48cc-a92d-6e7c8be8bbec"}},"connectionId":3,"connectionCount":2}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.964+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"127.0.0.1:40650","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"ae18e4c4-de0d-4dae-b2fa-4d6097e9bc27"}},"connectionId":4,"connectionCount":3}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.968+00:00"},"s":"I",  "c":"NETWORK",  "id":51800,   "ctx":"conn3","msg":"client metadata","attr":{"remote":"127.0.0.1:40648","client":"conn3","negotiatedCompressors":[],"doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
